subject	roi_set	roi	condition	ok	fail_reason	n_pairs_with_all_three	n_shared_pairs
sub-24	meta_spatial	meta_L_PPA_PHG	kj	True		4	4
sub-24	meta_spatial	meta_L_PPC_SPL	yy	True		30	30
sub-24	meta_spatial	meta_L_PPC_SPL	kj	True		4	4
sub-24	meta_spatial	meta_L_RSC_PCC	yy	True		30	30
sub-24	meta_spatial	meta_L_RSC_PCC	kj	True		4	4
sub-24	meta_spatial	meta_L_hippocampus	yy	True		30	30
sub-24	meta_spatial	meta_L_hippocampus	kj	True		4	4
sub-24	meta_spatial	meta_L_precuneus	yy	True		30	30
sub-24	meta_spatial	meta_L_precuneus	kj	True		4	4
sub-24	meta_spatial	meta_R_PPA_PHG	yy	True		30	30
sub-24	meta_spatial	meta_R_PPA_PHG	kj	True		4	4
sub-24	meta_spatial	meta_R_PPC_SPL	yy	True		30	30
sub-24	meta_spatial	meta_R_PPC_SPL	kj	True		4	4
sub-24	meta_spatial	meta_R_RSC_PCC	yy	True		30	30
sub-24	meta_spatial	meta_R_RSC_PCC	kj	True		4	4
sub-24	meta_spatial	meta_R_hippocampus	yy	True		30	30
sub-24	meta_spatial	meta_R_hippocampus	kj	True		4	4
sub-24	meta_spatial	meta_R_precuneus	yy	True		30	30
sub-24	meta_spatial	meta_R_precuneus	kj	True		4	4
sub-25	meta_spatial	meta_L_PPA_PHG	yy	True		30	30
sub-25	meta_spatial	meta_L_PPA_PHG	kj	True		4	4
sub-25	meta_spatial	meta_L_PPC_SPL	yy	True		30	30
sub-25	meta_spatial	meta_L_PPC_SPL	kj	True		4	4
sub-25	meta_spatial	meta_L_RSC_PCC	yy	True		30	30
sub-25	meta_spatial	meta_L_RSC_PCC	kj	True		4	4
sub-25	meta_spatial	meta_L_hippocampus	yy	True		30	30
sub-25	meta_spatial	meta_L_hippocampus	kj	True		4	4
sub-25	meta_spatial	meta_L_precuneus	yy	True		30	30
sub-25	meta_spatial	meta_L_precuneus	kj	True		4	4
sub-25	meta_spatial	meta_R_PPA_PHG	yy	True		30	30
sub-25	meta_spatial	meta_R_PPA_PHG	kj	True		4	4
sub-25	meta_spatial	meta_R_PPC_SPL	yy	True		30	30
sub-25	meta_spatial	meta_R_PPC_SPL	kj	True		4	4
sub-25	meta_spatial	meta_R_RSC_PCC	yy	True		30	30
sub-25	meta_spatial	meta_R_RSC_PCC	kj	True		4	4
sub-25	meta_spatial	meta_R_hippocampus	yy	True		30	30
sub-25	meta_spatial	meta_R_hippocampus	kj	True		4	4
sub-25	meta_spatial	meta_R_precuneus	yy	True		30	30
sub-25	meta_spatial	meta_R_precuneus	kj	True		4	4
sub-26	meta_spatial	meta_L_PPA_PHG	yy	True		30	30
sub-26	meta_spatial	meta_L_PPA_PHG	kj	True		4	4
sub-26	meta_spatial	meta_L_PPC_SPL	yy	True		30	30
sub-26	meta_spatial	meta_L_PPC_SPL	kj	True		4	4
sub-26	meta_spatial	meta_L_RSC_PCC	yy	True		30	30
sub-26	meta_spatial	meta_L_RSC_PCC	kj	True		4	4
sub-26	meta_spatial	meta_L_hippocampus	yy	True		30	30
sub-26	meta_spatial	meta_L_hippocampus	kj	True		4	4
sub-26	meta_spatial	meta_L_precuneus	yy	True		30	30
sub-26	meta_spatial	meta_L_precuneus	kj	True		4	4
sub-26	meta_spatial	meta_R_PPA_PHG	yy	True		30	30
sub-26	meta_spatial	meta_R_PPA_PHG	kj	True		4	4
sub-26	meta_spatial	meta_R_PPC_SPL	yy	True		30	30
sub-26	meta_spatial	meta_R_PPC_SPL	kj	True		4	4
sub-26	meta_spatial	meta_R_RSC_PCC	yy	True		30	30
sub-26	meta_spatial	meta_R_RSC_PCC	kj	True		4	4
sub-26	meta_spatial	meta_R_hippocampus	yy	True		30	30
sub-26	meta_spatial	meta_R_hippocampus	kj	True		4	4
sub-26	meta_spatial	meta_R_precuneus	yy	True		30	30
sub-26	meta_spatial	meta_R_precuneus	kj	True		4	4
sub-27	meta_spatial	meta_L_PPA_PHG	yy	True		30	30
sub-27	meta_spatial	meta_L_PPA_PHG	kj	True		4	4
sub-27	meta_spatial	meta_L_PPC_SPL	yy	True		30	30
sub-27	meta_spatial	meta_L_PPC_SPL	kj	True		4	4
sub-27	meta_spatial	meta_L_RSC_PCC	yy	True		30	30
sub-27	meta_spatial	meta_L_RSC_PCC	kj	True		4	4
sub-27	meta_spatial	meta_L_hippocampus	yy	True		30	30
sub-27	meta_spatial	meta_L_hippocampus	kj	True		4	4
sub-27	meta_spatial	meta_L_precuneus	yy	True		30	30
sub-27	meta_spatial	meta_L_precuneus	kj	True		4	4
sub-27	meta_spatial	meta_R_PPA_PHG	yy	True		30	30
sub-27	meta_spatial	meta_R_PPA_PHG	kj	True		4	4
sub-27	meta_spatial	meta_R_PPC_SPL	yy	True		30	30
sub-27	meta_spatial	meta_R_PPC_SPL	kj	True		4	4
sub-27	meta_spatial	meta_R_RSC_PCC	yy	True		30	30
sub-27	meta_spatial	meta_R_RSC_PCC	kj	True		4	4
sub-27	meta_spatial	meta_R_hippocampus	yy	True		30	30
sub-27	meta_spatial	meta_R_hippocampus	kj	True		4	4
sub-27	meta_spatial	meta_R_precuneus	yy	True		30	30
sub-27	meta_spatial	meta_R_precuneus	kj	True		4	4
sub-28	meta_spatial	meta_L_PPA_PHG	yy	True		30	30
sub-28	meta_spatial	meta_L_PPA_PHG	kj	True		4	4
sub-28	meta_spatial	meta_L_PPC_SPL	yy	True		30	30
sub-28	meta_spatial	meta_L_PPC_SPL	kj	True		4	4
sub-28	meta_spatial	meta_L_RSC_PCC	yy	True		30	30
sub-28	meta_spatial	meta_L_RSC_PCC	kj	True		4	4
sub-28	meta_spatial	meta_L_hippocampus	yy	True		30	30
sub-28	meta_spatial	meta_L_hippocampus	kj	True		4	4
sub-28	meta_spatial	meta_L_precuneus	yy	True		30	30
sub-28	meta_spatial	meta_L_precuneus	kj	True		4	4
sub-28	meta_spatial	meta_R_PPA_PHG	yy	True		30	30
sub-28	meta_spatial	meta_R_PPA_PHG	kj	True		4	4
sub-28	meta_spatial	meta_R_PPC_SPL	yy	True		30	30
sub-28	meta_spatial	meta_R_PPC_SPL	kj	True		4	4
sub-28	meta_spatial	meta_R_RSC_PCC	yy	True		30	30
sub-28	meta_spatial	meta_R_RSC_PCC	kj	True		4	4
sub-28	meta_spatial	meta_R_hippocampus	yy	True		30	30
sub-28	meta_spatial	meta_R_hippocampus	kj	True		4	4
sub-28	meta_spatial	meta_R_precuneus	yy	True		30	30
sub-28	meta_spatial	meta_R_precuneus	kj	True		4	4
